Time,Alloy,Values
1999.0,Wrought,0.0
1999.0,Primary castings,0.0
1999.0,Secondary castings,0.0
2000.0,Wrought,0.0
2000.0,Primary castings,0.0
2000.0,Secondary castings,0.0
2001.0,Wrought,0.0
2001.0,Primary castings,0.0
2001.0,Secondary castings,0.0
2002.0,Wrought,0.0
2002.0,Primary castings,0.0
2002.0,Secondary castings,0.0
2003.0,Wrought,0.0
2003.0,Primary castings,0.0
2003.0,Secondary castings,0.0
2004.0,Wrought,0.0
2004.0,Primary castings,0.0
2004.0,Secondary castings,0.0
2005.0,Wrought,0.0
2005.0,Primary castings,0.0
2005.0,Secondary castings,0.0
2006.0,Wrought,0.0
2006.0,Primary castings,0.0
2006.0,Secondary castings,0.0
2007.0,Wrought,0.0
2007.0,Primary castings,0.0
2007.0,Secondary castings,0.0
2008.0,Wrought,0.0
2008.0,Primary castings,0.0
2008.0,Secondary castings,0.0
2009.0,Wrought,0.0
2009.0,Primary castings,0.0
2009.0,Secondary castings,0.0
2010.0,Wrought,0.0
2010.0,Primary castings,0.0
2010.0,Secondary castings,0.0
2011.0,Wrought,0.0
2011.0,Primary castings,0.0
2011.0,Secondary castings,0.0
2012.0,Wrought,0.0
2012.0,Primary castings,0.0
2012.0,Secondary castings,0.0
2013.0,Wrought,0.0
2013.0,Primary castings,0.0
2013.0,Secondary castings,0.0
2014.0,Wrought,0.0
2014.0,Primary castings,0.0
2014.0,Secondary castings,0.0
2015.0,Wrought,0.0
2015.0,Primary castings,0.0
2015.0,Secondary castings,0.0
2016.0,Wrought,0.0
2016.0,Primary castings,0.0
2016.0,Secondary castings,0.0
2017.0,Wrought,0.0
2017.0,Primary castings,0.0
2017.0,Secondary castings,0.0
2018.0,Wrought,0.0
2018.0,Primary castings,0.0
2018.0,Secondary castings,0.0
2019.0,Wrought,0.0
2019.0,Primary castings,0.0
2019.0,Secondary castings,0.0
2020.0,Wrought,0.0
2020.0,Primary castings,0.0
2020.0,Secondary castings,0.0
2021.0,Wrought,0.0
2021.0,Primary castings,0.0
2021.0,Secondary castings,0.0
2022.0,Wrought,0.0
2022.0,Primary castings,0.0
2022.0,Secondary castings,0.0
2023.0,Wrought,0.0
2023.0,Primary castings,0.0
2023.0,Secondary castings,0.0
2024.0,Wrought,0.0
2024.0,Primary castings,0.0
2024.0,Secondary castings,0.0
2025.0,Wrought,0.0
2025.0,Primary castings,0.0
2025.0,Secondary castings,0.0
2026.0,Wrought,0.0
2026.0,Primary castings,0.0
2026.0,Secondary castings,0.0
2027.0,Wrought,0.0
2027.0,Primary castings,0.0
2027.0,Secondary castings,0.0
2028.0,Wrought,0.0
2028.0,Primary castings,0.0
2028.0,Secondary castings,0.0
2029.0,Wrought,0.0
2029.0,Primary castings,0.0
2029.0,Secondary castings,0.0
2030.0,Wrought,0.0
2030.0,Primary castings,0.0
2030.0,Secondary castings,0.0
2031.0,Wrought,0.0
2031.0,Primary castings,0.0
2031.0,Secondary castings,0.0
2032.0,Wrought,0.0
2032.0,Primary castings,0.0
2032.0,Secondary castings,0.0
2033.0,Wrought,0.0
2033.0,Primary castings,0.0
2033.0,Secondary castings,0.0
2034.0,Wrought,0.0
2034.0,Primary castings,0.0
2034.0,Secondary castings,28992576.517403066
2035.0,Wrought,0.0
2035.0,Primary castings,0.0
2035.0,Secondary castings,218634827.8125633
2036.0,Wrought,0.0
2036.0,Primary castings,0.0
2036.0,Secondary castings,414481146.4015074
2037.0,Wrought,0.0
2037.0,Primary castings,0.0
2037.0,Secondary castings,617800846.7246232
2038.0,Wrought,0.0
2038.0,Primary castings,0.0
2038.0,Secondary castings,831826014.3913753
2039.0,Wrought,0.0
2039.0,Primary castings,0.0
2039.0,Secondary castings,1059334086.2913697
2040.0,Wrought,0.0
2040.0,Primary castings,0.0
2040.0,Secondary castings,1298935738.521695
2041.0,Wrought,0.0
2041.0,Primary castings,0.0
2041.0,Secondary castings,1547177203.8830714
2042.0,Wrought,0.0
2042.0,Primary castings,0.0
2042.0,Secondary castings,1777675720.2619584
2043.0,Wrought,0.0
2043.0,Primary castings,0.0
2043.0,Secondary castings,1963439913.8608942
2044.0,Wrought,0.0
2044.0,Primary castings,0.0
2044.0,Secondary castings,2080505583.7515984
2045.0,Wrought,0.0
2045.0,Primary castings,0.0
2045.0,Secondary castings,2119902808.1240745
2046.0,Wrought,0.0
2046.0,Primary castings,0.0
2046.0,Secondary castings,2095713462.2109714
2047.0,Wrought,0.0
2047.0,Primary castings,0.0
2047.0,Secondary castings,2041650781.4566374
2048.0,Wrought,0.0
2048.0,Primary castings,0.0
2048.0,Secondary castings,1992612980.5932693
2049.0,Wrought,0.0
2049.0,Primary castings,0.0
2049.0,Secondary castings,1959130348.4770064
2050.0,Wrought,0.0
2050.0,Primary castings,0.0
2050.0,Secondary castings,1914543577.7302113
