Time,Alloy,Scenario,Values
1915.0,Secondary castings,Scenario3,0.0
1915.0,Secondary castings,Scenario4,0.0
1916.0,Wrought,Baseline,0.0
1916.0,Wrought,Scenario1,0.0
1916.0,Wrought,Scenario2,0.0
1916.0,Wrought,Scenario3,0.0
1916.0,Wrought,Scenario4,0.0
1916.0,Primary castings,Baseline,0.0
1916.0,Primary castings,Scenario1,0.0
1916.0,Primary castings,Scenario2,0.0
1916.0,Primary castings,Scenario3,0.0
1916.0,Primary castings,Scenario4,0.0
1916.0,Secondary castings,Baseline,0.0
1916.0,Secondary castings,Scenario1,0.0
1916.0,Secondary castings,Scenario2,0.0
1916.0,Secondary castings,Scenario3,0.0
1916.0,Secondary castings,Scenario4,0.0
1917.0,Wrought,Baseline,0.0
1917.0,Wrought,Scenario1,0.0
1917.0,Wrought,Scenario2,0.0
1917.0,Wrought,Scenario3,0.0
1917.0,Wrought,Scenario4,0.0
1917.0,Primary castings,Baseline,0.0
1917.0,Primary castings,Scenario1,0.0
1917.0,Primary castings,Scenario2,0.0
1917.0,Primary castings,Scenario3,0.0
1917.0,Primary castings,Scenario4,0.0
1917.0,Secondary castings,Baseline,0.0
1917.0,Secondary castings,Scenario1,0.0
1917.0,Secondary castings,Scenario2,0.0
1917.0,Secondary castings,Scenario3,0.0
1917.0,Secondary castings,Scenario4,0.0
1918.0,Wrought,Baseline,0.0
1918.0,Wrought,Scenario1,0.0
1918.0,Wrought,Scenario2,0.0
1918.0,Wrought,Scenario3,0.0
1918.0,Wrought,Scenario4,0.0
1918.0,Primary castings,Baseline,0.0
1918.0,Primary castings,Scenario1,0.0
1918.0,Primary castings,Scenario2,0.0
1918.0,Primary castings,Scenario3,0.0
1918.0,Primary castings,Scenario4,0.0
1918.0,Secondary castings,Baseline,0.0
1918.0,Secondary castings,Scenario1,0.0
1918.0,Secondary castings,Scenario2,0.0
1918.0,Secondary castings,Scenario3,0.0
1918.0,Secondary castings,Scenario4,0.0
1919.0,Wrought,Baseline,0.0
1919.0,Wrought,Scenario1,0.0
1919.0,Wrought,Scenario2,0.0
1919.0,Wrought,Scenario3,0.0
1919.0,Wrought,Scenario4,0.0
1919.0,Primary castings,Baseline,0.0
1919.0,Primary castings,Scenario1,0.0
1919.0,Primary castings,Scenario2,0.0
1919.0,Primary castings,Scenario3,0.0
1919.0,Primary castings,Scenario4,0.0
1919.0,Secondary castings,Baseline,0.0
1919.0,Secondary castings,Scenario1,0.0
1919.0,Secondary castings,Scenario2,0.0
1919.0,Secondary castings,Scenario3,0.0
1919.0,Secondary castings,Scenario4,0.0
1920.0,Wrought,Baseline,0.0
1920.0,Wrought,Scenario1,0.0
1920.0,Wrought,Scenario2,0.0
1920.0,Wrought,Scenario3,0.0
1920.0,Wrought,Scenario4,0.0
1920.0,Primary castings,Baseline,0.0
1920.0,Primary castings,Scenario1,0.0
1920.0,Primary castings,Scenario2,0.0
